event_id,timestamp,user_id,device_id,session_id,resource_id,ip_address,country,city,latitude,longitude,authentication_method,authentication_result,failure_reason,attack_label,is_attack
1,2026-04-26 20:46:40.075603,157,1237,451,4,10.85.94.50,USA,Annettechester,-83.7163705,-27.588961,SSO,Success,,0,False
2,2026-04-26 21:28:40.075603,77,515,363,18,192.168.133.180,USA,Anaburgh,-78.1838575,49.630804,SSO,Success,,0,False
3,2026-04-26 22:16:40.075603,319,976,241,29,192.168.244.35,USA,Nelsonfort,-30.7923575,55.218871,MFA,Success,,0,False
4,2026-04-27 00:09:40.075603,828,916,278,11,192.168.148.27,USA,North Richard,38.956291,-160.313917,Password,Success,,0,False
5,2026-04-27 00:28:40.075603,987,1084,7,1,172.18.87.89,USA,Brianchester,-42.4361355,157.980231,MFA,Success,,0,False
6,2026-04-27 00:52:40.075603,958,728,284,23,172.23.190.54,USA,Thompsonberg,-71.991918,-43.969343,Password,Success,,0,False
7,2026-04-27 01:01:40.075603,63,43,10,18,192.168.190.153,USA,East Malikhaven,-80.445492,81.087896,SSO,Success,,0,False
8,2026-04-27 01:36:40.075603,441,98,491,3,10.225.164.63,USA,Port Erica,78.8250465,-100.361671,MFA,Success,,0,False
9,2026-04-27 01:37:40.075603,386,1108,74,3,173.35.103.178,Israel,Clarkfurt,-55.039526,64.51338,SSO,Success,,7,True
10,2026-04-27 02:29:40.075603,24,1188,489,28,10.200.223.185,USA,Salinasburgh,48.2257635,159.196981,Password,Success,,0,False
11,2026-04-27 02:40:40.075603,114,91,285,2,10.36.128.113,USA,Sotoside,5.9066,-131.773733,Password,Success,,0,False
12,2026-04-27 03:59:40.075603,546,1700,172,25,10.172.188.8,USA,Lake Lisa,10.662926,-48.126351,MFA,Success,,0,False
13,2026-04-27 04:49:40.075603,585,728,9,22,192.168.57.173,USA,Amandachester,55.8785295,43.95912,MFA,Success,,0,False
14,2026-04-27 04:59:40.075603,522,803,434,14,10.232.140.233,USA,Port Walterville,-62.636845,131.471635,SSO,Success,,0,False
15,2026-04-27 06:03:40.075603,544,470,21,8,192.168.93.162,USA,Brendanstad,81.7500435,110.782167,MFA,Success,,0,False
16,2026-04-27 08:56:40.075603,320,1437,97,7,10.49.179.4,USA,East Nicolefort,11.836292,76.023027,SSO,Success,,0,False
17,2026-04-27 09:20:40.075603,712,96,215,1,172.30.118.31,USA,Tammybury,-15.472943,-177.70681,SSO,Success,,0,False
18,2026-04-27 09:35:40.075603,391,8,289,2,192.168.242.30,USA,New Jessicaberg,38.315859,-176.388721,MFA,Success,,0,False
19,2026-04-27 10:04:40.075603,779,1100,8,4,192.168.132.219,USA,Lake Kyliechester,43.251247,-11.443904,MFA,Success,,0,False
20,2026-04-27 10:26:40.075603,466,526,157,8,10.192.182.107,USA,Thomasmouth,19.0118,-14.973835,MFA,Success,,0,False
21,2026-04-27 10:47:40.075603,825,994,320,23,192.168.189.6,USA,Kellymouth,31.1983885,70.922787,Password,Success,,0,False
22,2026-04-27 13:15:40.075603,228,1437,364,28,172.22.73.80,USA,North Tyler,3.8482195,-146.655014,MFA,Failure,,0,False
23,2026-04-27 13:42:40.075603,608,1215,190,22,172.27.39.59,USA,Port Vincent,-66.144288,-0.812212,SSO,Success,,0,False
24,2026-04-27 13:52:40.075603,213,1198,439,26,192.168.180.157,USA,New Michael,82.5257315,121.088736,Password,Success,,0,False
25,2026-04-27 13:59:40.075603,340,484,111,30,1.83.251.40,Cambodia,Kelseyburgh,38.740935,24.854048,SSO,Success,,5,True
26,2026-04-27 14:04:40.075603,184,754,180,4,10.162.182.41,USA,North Lisaburgh,-88.4220285,-109.706339,Password,Success,,0,False
27,2026-04-27 14:17:40.075603,224,330,325,12,10.173.6.23,USA,Michaelbury,-67.836119,-7.042467,Password,Success,,0,False
28,2026-04-27 15:38:40.075603,943,1766,446,2,192.168.210.233,USA,North Jessica,-2.2337655,172.856849,MFA,Success,,0,False
29,2026-04-27 15:48:40.075603,334,1752,88,25,10.28.150.155,USA,Knightbury,86.572945,65.831984,MFA,Success,,0,False
30,2026-04-27 17:46:40.075603,741,28,378,26,10.31.127.92,USA,Higginsland,25.7552445,48.813778,MFA,Success,,0,False
31,2026-04-27 18:09:40.075603,326,853,92,5,172.31.6.178,USA,Hannahbury,-59.57004,176.412003,MFA,Success,,0,False
32,2026-04-27 19:11:40.075603,701,263,304,28,10.55.234.4,USA,West Jacobland,-78.290956,14.737745,SSO,Success,,0,False
33,2026-04-27 20:00:40.075603,201,906,185,17,172.25.126.185,USA,Hunterport,-31.411753,48.987959,Password,Failure,,0,False
34,2026-04-27 21:10:40.075603,561,172,419,10,172.24.212.239,USA,Simonland,10.338855,78.880086,Password,Success,,0,False
35,2026-04-27 21:11:40.075603,970,562,477,1,10.34.113.106,USA,Riverston,-21.567772,-3.395609,MFA,Success,,0,False
36,2026-04-27 22:21:40.075603,278,952,11,26,10.174.49.180,USA,Derekhaven,32.2265215,-66.040273,Password,Failure,,0,False
37,2026-04-27 23:21:40.075603,209,1414,460,19,192.168.169.243,USA,Susanfort,9.8798675,138.018966,Password,Failure,,0,False
38,2026-04-28 00:15:40.075603,671,1112,32,26,10.154.232.63,USA,Michaelhaven,-11.637643,-38.585737,Password,Success,,0,False
39,2026-04-28 01:05:40.075603,622,560,18,21,10.252.227.123,USA,Raventon,76.3884785,50.905379,MFA,Success,,0,False
40,2026-04-28 01:11:40.075603,927,1326,202,30,172.21.232.243,USA,North Jackson,44.8089595,51.787149,MFA,Success,,0,False
41,2026-04-28 01:21:40.075603,251,1410,194,11,10.210.8.38,USA,Joshuaburgh,-50.2623715,-174.777136,MFA,Success,,0,False
42,2026-04-28 01:32:40.075603,215,610,471,30,172.27.34.174,USA,Lake Paul,-60.024308,149.329268,MFA,Success,,0,False
43,2026-04-28 01:41:40.075603,591,91,337,3,192.168.245.108,USA,West Maryberg,-21.8729285,22.315597,MFA,Success,,0,False
44,2026-04-28 02:04:40.075603,621,1439,336,14,192.168.4.65,USA,East Dylanchester,-18.9458785,-96.858408,MFA,Success,,0,False
45,2026-04-28 03:10:40.075603,445,1621,419,22,165.252.248.246,Bermuda,Castilloview,-23.3630975,-54.748617,Password,Failure,Invalid Password,2,True
46,2026-04-28 03:33:40.075603,951,395,141,10,10.201.136.0,USA,North Victoria,89.5575145,-74.165659,MFA,Success,,0,False
47,2026-04-28 04:28:40.075603,368,674,1,29,172.25.146.170,USA,Phillipland,-68.8751405,138.757045,Password,Success,,0,False
48,2026-04-28 06:20:40.075603,148,702,93,7,10.25.132.137,USA,Albertland,22.4610895,10.233045,SSO,Success,,0,False
49,2026-04-28 06:35:40.075603,171,248,215,9,192.168.182.156,USA,North Craigfort,-24.8388455,134.490453,SSO,Success,,0,False
50,2026-04-28 07:19:40.075603,975,563,374,21,172.24.190.253,USA,South Amy,-74.0625405,50.705842,MFA,Failure,,0,False
51,2026-04-28 09:02:40.075603,734,1684,375,5,192.168.166.172,USA,Davidside,-40.671747,140.853317,SSO,Success,,0,False
52,2026-04-28 09:13:40.075603,204,1503,382,12,10.78.182.248,USA,Rodriguezbury,-45.3889315,-37.117124,SSO,Success,,0,False
53,2026-04-28 09:37:40.075603,469,1711,385,13,10.39.189.80,USA,Davisfurt,79.345677,101.591748,Password,Failure,,0,False
54,2026-04-28 10:27:40.075603,934,733,199,10,10.78.251.123,USA,West Jason,27.249812,93.779061,Password,Success,,0,False
55,2026-04-28 12:09:40.075603,961,1504,26,3,192.168.246.197,USA,New Paulafurt,-16.1538105,128.078452,SSO,Success,,0,False
56,2026-04-28 12:11:40.075603,861,1115,92,9,10.99.22.82,USA,Smithview,39.384386,136.282311,SSO,Success,,0,False
57,2026-04-28 12:23:40.075603,194,1303,134,26,172.17.24.199,USA,South Stacyfort,-47.9648895,-179.045657,SSO,Failure,,0,False
58,2026-04-28 13:35:40.075603,309,476,340,15,10.87.54.168,USA,New Eric,38.799154,-113.386559,SSO,Success,,0,False
59,2026-04-28 13:35:40.075603,801,849,337,5,10.95.163.8,USA,South Donna,56.5439875,20.422965,MFA,Success,,0,False
60,2026-04-28 14:45:40.075603,523,1568,149,16,192.168.214.100,USA,Jackieton,-60.901947,32.864155,Password,Success,,0,False
61,2026-04-28 16:17:40.075603,601,1410,419,12,192.168.238.99,USA,Baileyborough,9.9097675,178.279676,MFA,Success,,0,False
62,2026-04-28 17:02:40.075603,65,1162,491,29,10.64.137.26,USA,West Reneechester,38.2280735,-106.487867,Password,Success,,0,False
63,2026-04-28 17:57:40.075603,513,1034,459,2,10.9.64.186,USA,New Debbieville,43.0587355,104.987319,MFA,Success,,0,False
64,2026-04-28 17:57:40.075603,512,1040,316,13,159.62.128.3,Cayman Islands,Cooperport,83.737662,144.54835,MFA,Failure,Invalid Password,2,True
65,2026-04-28 19:52:40.075603,576,8,284,26,172.22.112.136,USA,East Anthony,83.24514,174.876056,SSO,Success,,0,False
66,2026-04-28 22:34:40.075603,333,1249,128,6,172.31.62.104,USA,Hughesville,-52.492221,-82.770137,SSO,Success,,0,False
67,2026-04-28 23:14:40.075603,144,245,329,14,192.168.135.134,USA,Patriciaton,-28.401332,178.861817,MFA,Success,,0,False
68,2026-04-28 23:21:40.075603,191,1117,66,13,172.16.244.164,USA,Hawkinschester,57.813598,104.559822,Password,Success,,0,False
69,2026-04-28 23:53:40.075603,310,562,235,7,142.83.124.178,Bermuda,Micheleview,-42.8817905,7.967749,Password,Success,,4,True
70,2026-04-29 00:43:40.075603,318,26,111,27,192.168.239.55,USA,Jodiborough,-69.409984,-120.190615,Password,Success,,0,False
71,2026-04-29 00:58:40.075603,707,342,38,5,192.168.195.226,USA,New Danielville,64.518301,-129.043665,SSO,Success,,0,False
