device_id,user_id,device_type,operating_system,browser,trust_status,fingerprint,registration_date
1,284,Desktop,macOS,Firefox,False,17351ae75722130248ad33c9c0b4e7a0a0161d093475f35838a8ea613ac640e2,2026-01-26 20:41:40.049025
2,672,Desktop,Linux,Firefox,True,b81fef3db8182a38ffb8ff1891625d0c70e50c15f795f8fad9b9656061f9e50a,2026-01-26 20:41:40.049049
3,154,Desktop,Windows,Chrome,False,d263b521db5801ba942edcc571e2d30616edd455c8ea6875108ce89b539422a3,2026-01-26 20:41:40.049061
4,677,Mobile,Linux,Chrome,True,78c1a8f47643b1ca66c17470f9ba0408f2cbf4adb350a71106ed8ac0d537e53d,2026-01-26 20:41:40.049072
5,672,Mobile,macOS,Firefox,False,51d3a46c9ac8f91e1288d7a146e64c5f13db2b8cd5e4a53be4ba49f77457c4c4,2026-01-26 20:41:40.049082
6,415,Mobile,Linux,Chrome,True,0cac8d2898c7838694352b167fa7ed19190ee604da96a71d82e76a5dcae5d984,2026-01-26 20:41:40.049093
7,352,Desktop,Linux,Chrome,False,efd8a953cf38ae9ea4cc595ca56a8cefa1bf9881e5f5f3400212d3374a2232be,2026-01-26 20:41:40.049103
8,929,Desktop,macOS,Edge,False,a31d55c93416463ef83ec5d9bd159875c8590e0f731e658012ef9cefcf27a3d0,2026-01-26 20:41:40.049114
9,866,Laptop,Linux,Edge,True,7d58f7a89b658a2879685203fa49f1a756eb93a356833c02abbcc2c5a56b6db1,2026-01-26 20:41:40.049128
10,301,Laptop,macOS,Chrome,False,bcc4399cb47aaea7d64fbcbb6d897f3a27403bd24a3620a34cdd36f746dfcd9b,2026-01-26 20:41:40.049139
11,743,Desktop,Windows,Edge,False,3283bee6546df12a8a3d736920e77961a47e9f1becb979a3d2ba5c625804810a,2026-01-26 20:41:40.049149
12,671,Laptop,Windows,Firefox,True,3cd42dd2f1c1b6154dc530947c9ed65eb2487fb0bf04a4f8e47d63864b4d2c7f,2026-01-26 20:41:40.049159
13,763,Mobile,macOS,Firefox,False,41fabbec9e6888a2b3be32e81d9c62c716afed0856e1fbc62b9f447c682f4218,2026-01-26 20:41:40.049169
