resource_id,resource_name,department_id,sensitivity_level,requires_mfa
1,App_style,4,1,False
2,App_fight,3,3,True
3,App_despite,8,5,False
4,App_guess,6,3,True
5,App_scene,2,3,False
6,App_most,4,2,False
7,App_ok,7,5,False
8,App_themselves,1,4,False
9,App_situation,6,1,True
10,App_study,7,4,True
11,App_exist,5,2,False
12,App_believe,3,5,False
13,App_must,8,5,False
14,App_spring,2,1,True
15,App_develop,2,2,True
16,App_evening,1,1,False
17,App_discover,4,1,True
18,App_manage,5,2,False
19,App_every,7,4,True
20,App_almost,4,3,False
21,App_win,4,2,True
22,App_business,6,3,False
23,App_nation,1,1,True
24,App_reason,8,3,True
25,App_program,3,3,True
26,App_cultural,3,2,False
27,App_may,8,2,True
28,App_challenge,8,4,False
29,App_manage,1,2,False
30,App_peace,2,2,True
